format,category,retained_site_count,retained_file_count,retained_bytes,referenced_site_count,percent_retained_sites,percent_referenced_sites
glb,3d_model,8,24,9641736,111,0.18,2.503
wasm,webassembly,3,3,3716778,107,0.068,2.413
obj,3d_model,0,0,0,56,0.0,1.263
ktx2,gpu_texture,0,0,0,51,0.0,1.15
frag,shader,0,0,0,39,0.0,0.88
gltf,3d_model,0,0,0,28,0.0,0.631
hdr,environment_map,2,2,5708687,24,0.045,0.541
riv,vector_animation,0,0,0,25,0.0,0.564
ktx,gpu_texture,2,6,40954,18,0.045,0.406
splinecode,spline_scene,0,0,0,19,0.0,0.429
basis,gpu_texture,0,0,0,13,0.0,0.293
dds,gpu_texture,0,0,0,13,0.0,0.293
glsl,shader,0,0,0,12,0.0,0.271
exr,environment_map,1,1,190403,6,0.023,0.135
fbx,3d_model,1,1,673280,6,0.023,0.135
vert,shader,0,0,0,7,0.0,0.158
draco,compressed_geometry,0,0,0,6,0.0,0.135
usdz,3d_model,0,0,0,5,0.0,0.113
drc,compressed_geometry,0,0,0,2,0.0,0.045
astc,gpu_texture,0,0,0,1,0.0,0.023
lottie_json,vector_animation,1,2,41223640,0,0.023,0.0
