archive_rank,slug,source_url,asset_system_breadth,asset_categories,retained_formats,referenced_formats,runtime_signals,retained_asset_files,retained_asset_bytes
692,zentry,https://zentry.com/,6,3d_model | compressed_geometry | gpu_texture | spline_scene | vector_animation | webassembly,,draco | glb | gltf | ktx | ktx2 | obj | riv | splinecode | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | rive_runtime | shader_source | web_worker | webassembly_runtime,0,0
309,heidelberg-ccus,https://ccus.heidelbergmaterials.com/en/,5,3d_model | compressed_geometry | gpu_texture | shader | webassembly,,draco | fbx | glb | glsl | gltf | ktx2 | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
471,altermind-1,https://www.altermind.studio,5,3d_model | environment_map | gpu_texture | vector_animation | webassembly,,glb | hdr | ktx | ktx2 | riv | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | rive_runtime | shader_source | web_worker | webassembly_runtime,0,0
1051,spring-summer-2,https://springsummer.dk,5,3d_model | compressed_geometry | shader | spline_scene | webassembly,,draco | frag | obj | splinecode | wasm,draco_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
563,shopify-editions-summer-24,https://www.shopify.com/editions/summer2024,4,3d_model | environment_map | vector_animation | webassembly,glb,glb | hdr | obj | riv | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | rive_runtime | shader_source | web_worker | webassembly_runtime,8,88968
43,hubtown,https://hubtown.co.in/,4,3d_model | environment_map | gpu_texture | webassembly,,exr | glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
45,the-power-of-storytelling,https://storytelling.noomoagency.com,4,3d_model | environment_map | gpu_texture | webassembly,,glb | hdr | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
101,naughtyduk-c-1,https://naughtyduk.com,4,3d_model | environment_map | shader | webassembly,,frag | hdr | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
130,planetono,https://www.planetono.space,4,3d_model | gpu_texture | vector_animation | webassembly,,dds | glb | riv | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | rive_runtime | shader_source | web_worker | webassembly_runtime,0,0
163,the-renaissance-edition,https://www.shopify.com/editions/winter2026,4,3d_model | gpu_texture | vector_animation | webassembly,,glb | ktx2 | riv | usdz | wasm,gltf_loader | rive_runtime | webassembly_runtime,0,0
