feature_a,feature_b,site_count,percent_of_css_sites
media_queries,transforms,1961,88.733
media_queries,transitions,1940,87.783
transforms,transitions,1935,87.557
flexbox,media_queries,1921,86.923
fixed_position,media_queries,1914,86.606
fixed_position,transforms,1911,86.471
flexbox,transforms,1910,86.425
fixed_position,transitions,1886,85.339
flexbox,transitions,1878,84.977
media_queries,pointer_events,1877,84.932
pointer_events,transforms,1876,84.887
font_face,media_queries,1875,84.842
font_face,transforms,1863,84.299
pointer_events,transitions,1861,84.208
fixed_position,pointer_events,1850,83.71
fixed_position,flexbox,1847,83.575
flexbox,pointer_events,1843,83.394
fixed_position,font_face,1840,83.258
font_face,transitions,1840,83.258
flexbox,font_face,1804,81.629
font_face,pointer_events,1803,81.584
keyframes,transforms,1662,75.204
media_queries,shadows,1653,74.796
animations,transforms,1643,74.344
shadows,transforms,1640,74.208
keyframes,media_queries,1633,73.891
shadows,transitions,1631,73.801
animations,keyframes,1628,73.665
keyframes,transitions,1628,73.665
animations,media_queries,1616,73.122
flexbox,keyframes,1610,72.851
animations,transitions,1608,72.76
flexbox,shadows,1605,72.624
fixed_position,keyframes,1604,72.579
fixed_position,shadows,1597,72.262
animations,flexbox,1591,71.991
animations,fixed_position,1585,71.719
keyframes,pointer_events,1585,71.719
pointer_events,shadows,1579,71.448
font_face,shadows,1565,70.814
animations,pointer_events,1564,70.769
transforms,user_select,1560,70.588
font_face,keyframes,1556,70.407
media_queries,user_select,1556,70.407
pointer_events,user_select,1549,70.09
fixed_position,user_select,1544,69.864
transitions,user_select,1543,69.819
animations,font_face,1538,69.593
flexbox,user_select,1523,68.914
custom_properties,media_queries,1515,68.552
font_face,user_select,1514,68.507
custom_properties,flexbox,1513,68.462
media_queries,object_fit_position,1510,68.326
flexbox,object_fit_position,1509,68.281
object_fit_position,transforms,1507,68.19
custom_properties,transforms,1502,67.964
object_fit_position,transitions,1501,67.919
fixed_position,object_fit_position,1496,67.692
object_fit_position,pointer_events,1492,67.511
custom_properties,pointer_events,1487,67.285
custom_properties,transitions,1486,67.24
custom_properties,fixed_position,1463,66.199
font_face,object_fit_position,1461,66.109
custom_properties,font_face,1457,65.928
keyframes,shadows,1443,65.294
gradients,media_queries,1437,65.023
animations,shadows,1433,64.842
gradients,transforms,1433,64.842
gradients,transitions,1431,64.751
flexbox,gradients,1422,64.344
fixed_position,gradients,1408,63.71
gradients,pointer_events,1402,63.439
grid,media_queries,1376,62.262
flexbox,grid,1374,62.172
font_face,gradients,1370,61.991
grid,transforms,1362,61.629
grid,transitions,1352,61.176
grid,pointer_events,1351,61.131
shadows,user_select,1336,60.452
keyframes,user_select,1335,60.407
fixed_position,grid,1334,60.362
animations,user_select,1321,59.774
custom_properties,shadows,1319,59.683
font_face,grid,1317,59.593
object_fit_position,shadows,1311,59.321
keyframes,object_fit_position,1307,59.14
gradients,shadows,1304,59.005
custom_properties,object_fit_position,1303,58.959
animations,object_fit_position,1298,58.733
custom_properties,keyframes,1297,58.688
animations,custom_properties,1285,58.145
gradients,keyframes,1278,57.828
animations,gradients,1268,57.376
flexbox,gap,1267,57.33
transform_3d,transforms,1267,57.33
gap,media_queries,1266,57.285
object_fit_position,user_select,1262,57.104
media_queries,transform_3d,1256,56.833
fixed_position,transform_3d,1253,56.697
transform_3d,transitions,1252,56.652
custom_properties,grid,1248,56.471
gap,transforms,1246,56.38
gap,transitions,1240,56.109
custom_properties,user_select,1237,55.973
pointer_events,transform_3d,1234,55.837
gap,pointer_events,1229,55.611
fixed_position,gap,1228,55.566
flexbox,transform_3d,1227,55.52
grid,shadows,1222,55.294
font_face,transform_3d,1221,55.249
grid,object_fit_position,1214,54.932
filter_effects,media_queries,1208,54.661
font_face,gap,1206,54.57
filter_effects,transforms,1205,54.525
filter_effects,transitions,1204,54.48
transforms,will_change,1203,54.434
media_queries,will_change,1202,54.389
gradients,user_select,1201,54.344
pointer_events,will_change,1201,54.344
flexbox,will_change,1199,54.253
filter_effects,fixed_position,1197,54.163
fixed_position,will_change,1196,54.118
transitions,will_change,1192,53.937
custom_properties,gradients,1188,53.756
grid,keyframes,1188,53.756
animations,grid,1184,53.575
gradients,object_fit_position,1183,53.529
filter_effects,pointer_events,1179,53.348
filter_effects,flexbox,1168,52.851
filter_effects,font_face,1166,52.76
font_face,will_change,1166,52.76
custom_properties,gap,1142,51.674
keyframes,transform_3d,1142,51.674
animations,transform_3d,1132,51.222
grid,user_select,1127,50.995
gradients,grid,1108,50.136
filter_effects,shadows,1107,50.09
gap,shadows,1107,50.09
custom_scrollbars,media_queries,1105,50.0
shadows,transform_3d,1101,49.819
custom_scrollbars,flexbox,1100,49.774
gap,object_fit_position,1100,49.774
custom_scrollbars,transforms,1099,49.729
custom_scrollbars,pointer_events,1098,49.683
custom_scrollbars,fixed_position,1094,49.502
custom_scrollbars,transitions,1090,49.321
gap,grid,1081,48.914
custom_scrollbars,font_face,1079,48.824
filter_effects,keyframes,1076,48.688
gap,keyframes,1076,48.688
animations,filter_effects,1070,48.416
animations,gap,1067,48.281
transform_3d,user_select,1065,48.19
keyframes,will_change,1032,46.697
user_select,will_change,1027,46.471
object_fit_position,transform_3d,1026,46.425
object_fit_position,will_change,1025,46.38
shadows,will_change,1018,46.063
animations,will_change,1016,45.973
filter_effects,object_fit_position,1012,45.792
filter_effects,gradients,1011,45.747
gap,gradients,1011,45.747
gap,user_select,1011,45.747
custom_properties,will_change,1004,45.43
filter_effects,user_select,1002,45.339
gradients,transform_3d,1000,45.249
custom_properties,filter_effects,999,45.204
aspect_ratio,flexbox,990,44.796
aspect_ratio,media_queries,989,44.751
aspect_ratio,transforms,986,44.615
aspect_ratio,pointer_events,984,44.525
custom_properties,custom_scrollbars,979,44.299
aspect_ratio,fixed_position,977,44.208
aspect_ratio,transitions,975,44.118
custom_properties,transform_3d,971,43.937
custom_scrollbars,object_fit_position,967,43.756
aspect_ratio,font_face,961,43.484
custom_scrollbars,keyframes,961,43.484
custom_scrollbars,shadows,959,43.394
animations,custom_scrollbars,954,43.167
custom_scrollbars,user_select,947,42.851
gradients,will_change,943,42.67
filter_effects,grid,942,42.624
aspect_ratio,custom_properties,923,41.765
flexbox,sticky_position,919,41.584
media_queries,sticky_position,917,41.493
sticky_position,transforms,917,41.493
aspect_ratio,object_fit_position,915,41.403
pointer_events,sticky_position,912,41.267
fixed_position,sticky_position,910,41.176
sticky_position,transitions,909,41.131
grid,transform_3d,907,41.041
fixed_position,selection_marker_styling,905,40.95
media_queries,selection_marker_styling,904,40.905
selection_marker_styling,transforms,904,40.905
selection_marker_styling,transitions,904,40.905
grid,will_change,903,40.86
blend_modes,transforms,902,40.814
custom_scrollbars,grid,900,40.724
blend_modes,media_queries,900,40.724
blend_modes,flexbox,897,40.588
blend_modes,fixed_position,896,40.543
font_face,sticky_position,893,40.407
blend_modes,pointer_events,891,40.317
blend_modes,transitions,891,40.317
pointer_events,selection_marker_styling,887,40.136
font_face,selection_marker_styling,885,40.045
custom_scrollbars,gradients,884,40.0
media_queries,overscroll_behavior,883,39.955
flexbox,selection_marker_styling,881,39.864
overscroll_behavior,pointer_events,880,39.819
overscroll_behavior,transforms,880,39.819
filter_effects,gap,879,39.774
gap,will_change,879,39.774
flexbox,overscroll_behavior,878,39.729
aspect_ratio,shadows,877,39.683
fixed_position,overscroll_behavior,876,39.638
clip_path,media_queries,875,39.593
overscroll_behavior,transitions,874,39.548
clip_path,flexbox,874,39.548
aspect_ratio,grid,871,39.412
clip_path,transforms,871,39.412
blend_modes,font_face,867,39.231
aspect_ratio,keyframes,865,39.14
touch_action,transforms,865,39.14
touch_action,transitions,864,39.095
clip_path,transitions,862,39.005
media_queries,touch_action,861,38.959
object_fit_position,sticky_position,861,38.959
animations,aspect_ratio,860,38.914
clip_path,pointer_events,860,38.914
pointer_events,touch_action,859,38.869
fixed_position,touch_action,856,38.733
clamp_min_max,flexbox,855,38.688
font_face,overscroll_behavior,855,38.688
clamp_min_max,media_queries,854,38.643
clip_path,fixed_position,854,38.643
flexbox,touch_action,851,38.507
clamp_min_max,transforms,848,38.371
custom_properties,sticky_position,844,38.19
grid,sticky_position,844,38.19
filter_effects,transform_3d,843,38.145
keyframes,sticky_position,840,38.009
shadows,sticky_position,840,38.009
clamp_min_max,transitions,839,37.964
clip_path,font_face,839,37.964
font_face,touch_action,837,37.873
clamp_min_max,pointer_events,836,37.828
animations,sticky_position,835,37.783
aspect_ratio,user_select,825,37.33
aspect_ratio,gap,822,37.195
custom_scrollbars,gap,821,37.149
clamp_min_max,fixed_position,820,37.104
clamp_min_max,font_face,816,36.923
transform_3d,will_change,815,36.878
clamp_min_max,custom_properties,814,36.833
aspect_ratio,gradients,808,36.561
clip_path,custom_properties,801,36.244
blend_modes,object_fit_position,798,36.109
gap,transform_3d,796,36.018
keyframes,touch_action,788,35.656
touch_action,user_select,788,35.656
shadows,touch_action,787,35.611
keyframes,selection_marker_styling,786,35.566
custom_properties,overscroll_behavior,784,35.475
clip_path,object_fit_position,784,35.475
filter_effects,will_change,782,35.385
dynamic_viewport_units,flexbox,781,35.339
animations,touch_action,780,35.294
selection_marker_styling,shadows,780,35.294
animations,clip_path,780,35.294
dynamic_viewport_units,media_queries,779,35.249
blend_modes,keyframes,778,35.204
sticky_position,user_select,778,35.204
dynamic_viewport_units,fixed_position,777,35.158
dynamic_viewport_units,pointer_events,777,35.158
dynamic_viewport_units,transitions,777,35.158
clip_path,keyframes,777,35.158
dynamic_viewport_units,transforms,775,35.068
blend_modes,shadows,775,35.068
clip_path,shadows,775,35.068
animations,selection_marker_styling,773,34.977
object_fit_position,overscroll_behavior,771,34.887
animations,blend_modes,770,34.842
selection_marker_styling,user_select,769,34.796
custom_scrollbars,will_change,768,34.751
custom_scrollbars,filter_effects,767,34.706
interaction_media_queries,media_queries,766,34.661
dynamic_viewport_units,font_face,764,34.57
flexbox,interaction_media_queries,763,34.525
interaction_media_queries,transitions,763,34.525
interaction_media_queries,pointer_events,762,34.48
interaction_media_queries,transforms,762,34.48
blend_modes,custom_properties,762,34.48
fixed_position,interaction_media_queries,759,34.344
blend_modes,user_select,759,34.344
