category,feature,site_count,percent_of_css_sites,percent_of_mirrored_sites
responsive,media_queries,2029,91.81,45.76
motion,transforms,2007,90.814,45.264
motion,transitions,1967,89.005,44.362
layout,flexbox,1964,88.869,44.294
layout,fixed_position,1959,88.643,44.181
typography,font_face,1946,88.054,43.888
interaction,pointer_events,1907,86.29,43.009
color_material,shadows,1678,75.928,37.844
motion,keyframes,1665,75.339,37.551
motion,animations,1648,74.57,37.167
interaction,user_select,1590,71.946,35.859
color_material,custom_properties,1536,69.502,34.641
layout,object_fit_position,1513,68.462,34.123
color_material,gradients,1455,65.837,32.815
layout,grid,1378,62.353,31.078
layout,gap,1272,57.557,28.687
motion,transform_3d,1269,57.421,28.62
color_material,filter_effects,1228,55.566,27.695
motion,will_change,1211,54.796,27.312
selectors_cascade,custom_scrollbars,1113,50.362,25.101
layout,aspect_ratio,991,44.842,22.35
selectors_cascade,selection_marker_styling,925,41.855,20.862
layout,sticky_position,920,41.629,20.749
color_material,blend_modes,903,40.86,20.365
interaction,overscroll_behavior,887,40.136,20.005
color_material,clip_path,882,39.91,19.892
interaction,touch_action,879,39.774,19.824
responsive,clamp_min_max,857,38.778,19.328
responsive,dynamic_viewport_units,782,35.385,17.636
responsive,interaction_media_queries,766,34.661,17.276
color_material,svg_data_uri,726,32.851,16.373
selectors_cascade,is_where_selectors,697,31.538,15.719
color_material,backdrop_filter,695,31.448,15.674
typography,font_features,666,30.136,15.02
motion,perspective,662,29.955,14.93
motion,scroll_behavior,612,27.692,13.802
color_material,masks,607,27.466,13.69
selectors_cascade,focus_visible,598,27.059,13.487
selectors_cascade,supports_queries,565,25.566,12.742
layout,logical_properties,545,24.661,12.291
selectors_cascade,has_selector,480,21.719,10.825
responsive,prefers_reduced_motion,357,16.154,8.051
typography,variable_fonts,353,15.973,7.961
motion,scroll_snap,349,15.792,7.871
typography,text_stroke,261,11.81,5.886
layout,multi_column,255,11.538,5.751
typography,text_wrap_balance_pretty,251,11.357,5.661
typography,writing_modes,194,8.778,4.375
color_material,color_mix,179,8.1,4.037
rendering,containment,177,8.009,3.992
responsive,container_queries,162,7.33,3.654
responsive,prefers_contrast_forced_colors,124,5.611,2.797
responsive,prefers_color_scheme,105,4.751,2.368
selectors_cascade,cascade_layers,99,4.48,2.233
layout,subgrid,86,3.891,1.94
responsive,container_query_units,84,3.801,1.894
selectors_cascade,css_nesting,58,2.624,1.308
color_material,oklch_oklab,48,2.172,1.083
typography,fluid_letter_spacing,45,2.036,1.015
rendering,content_visibility,37,1.674,0.834
motion,view_transitions,35,1.584,0.789
selectors_cascade,popover_anchor_positioning,29,1.312,0.654
color_material,display_p3,24,1.086,0.541
color_material,lab_lch,13,0.588,0.293
motion,scroll_driven_animation,13,0.588,0.293
motion,motion_paths,5,0.226,0.113
