interaction,site_count,percent_of_live_sites
Animation,1889,41.407
3D,737,16.155
Responsive Design,692,15.169
Transitions,668,14.643
Scrolling,595,13.043
Interaction Design,503,11.026
Parallax,489,10.719
Fullscreen,457,10.018
Storytelling,445,9.754
Microinteractions,441,9.667
Video,432,9.47
Unusual Navigation,419,9.185
Single page,311,6.817
Infinite Scroll,257,5.633
Gestures / Interaction,245,5.37
Gallery,242,5.305
Filters and Effects,236,5.173
Navigation Menu,228,4.998
Sound-Audio,187,4.099
Responsive,152,3.332
About Page,145,3.178
Horizontal Layout,137,3.003
404 pages,132,2.893
Footer Design,109,2.389
Project Page,84,1.841
Social Integration,72,1.578
Data Visualization,69,1.512
Header Design,55,1.206
360,53,1.162
App Style,37,0.811
Menu - Horizontal,33,0.723
Menu - Vertical,28,0.614
Contact Page,22,0.482
Forms and Input,21,0.46
Motion,19,0.416
