archive_rank,slug,title,award_date,awwwards_url,requested_url,visit_status,http_status,final_url,redirect_host_changed,mirror_status,mirror_has_html,mirror_file_count,mirror_bytes
1,dragonfly-redux,Dragonfly Redux,2026-07-22,https://www.awwwards.com/sites/dragonfly-redux,https://www.dragonfly.xyz/,live_html,200,https://www.dragonfly.xyz/,False,mirrored,True,25,2798700
2,lacoste-polo-factory,Lacoste — Polo Factory,2026-07-21,https://www.awwwards.com/sites/lacoste-polo-factory,https://members-play.lacoste.com/polo-factory-experience,live_html,200,https://members-play.lacoste.com/polo-factory-experience/,False,mirrored,True,40,5454739
3,lama-lama-2,Lama Lama,2026-07-20,https://www.awwwards.com/sites/lama-lama-2,https://lamalama.com/,live_html,200,https://lamalama.com/,False,mirrored,True,6,925602
4,glitch-grit,Glitch&Grit,2026-07-19,https://www.awwwards.com/sites/glitch-grit,https://glitchandgrit.com/,live_html,200,https://glitchandgrit.com/,False,mirrored,True,5,270220
5,izanami,IZANAMI,2026-07-18,https://www.awwwards.com/sites/izanami,https://izanami-official.com/,live_html,200,https://izanami-official.com/,False,mirrored,True,2,55210
6,hiroto-sato,Hiroto Sato,2026-07-17,https://www.awwwards.com/sites/hiroto-sato,https://www.hirotos.com,live_html,200,https://www.hirotos.com,False,mirrored,True,4,6975
7,coffeetech-r,CoffeeTech®,2026-07-16,https://www.awwwards.com/sites/coffeetech-r,https://coffee-tech.com/,live_html,200,https://www.coffee-tech.com/,False,mirrored,True,2,924
8,risk,RISK,2026-07-15,https://www.awwwards.com/sites/risk,https://www.risk.film,live_html,200,https://www.risk.film,False,mirrored,True,12,1395884
9,house-of-honey-1,House of Honey,2026-07-14,https://www.awwwards.com/sites/house-of-honey-1,https://www.houseofhoney.com/,live_html,200,https://www.houseofhoney.com/,False,mirrored,True,5,192893
10,pp-neue-montreal,PP Neue Montreal,2026-07-13,https://www.awwwards.com/sites/pp-neue-montreal,https://neuemontreal.com/,live_html,200,https://neuemontreal.com/,False,mirrored,True,7,3000108
11,longbow,Longbow,2026-07-12,https://www.awwwards.com/sites/longbow,https://db-longbow.webflow.io/,live_html,200,https://db-longbow.webflow.io/,False,mirrored,True,7,228518
12,vectr,Vectr,2026-07-11,https://www.awwwards.com/sites/vectr,https://vectrfl.com/,live_html,200,https://www.vectrfl.com/,False,mirrored,True,1,606
13,21-hrs-on-the-moon,21 Hrs On The Moon,2026-07-10,https://www.awwwards.com/sites/21-hrs-on-the-moon,https://www.21hrs.space/,live_html,200,https://www.21hrs.space/,False,mirrored,True,13,118471
14,brunello-cucinelli-ai-e-com,Brunello Cucinelli - AI E-com,2026-07-09,https://www.awwwards.com/sites/brunello-cucinelli-ai-e-com,https://shop.brunellocucinelli.com/en-gb/ai,access_blocked,403,https://shop.brunellocucinelli.com/en-gb/ai,False,no_html,False,1,245
15,julien-calot,Julien Calot,2026-07-08,https://www.awwwards.com/sites/julien-calot,https://www.juliencalot.com,live_html,200,https://www.juliencalot.com,False,mirrored,True,9,948451
16,depo-luxe,Depo Luxe,2026-07-07,https://www.awwwards.com/sites/depo-luxe,https://depoluxe.xyz/,live_html,200,https://depoluxe.xyz/,False,mirrored,True,5,201274
17,monolog,MONOLOG,2026-07-06,https://www.awwwards.com/sites/monolog,https://bymonolog.com/,live_html,200,https://bymonolog.com/,False,mirrored,True,5,527514
18,hilden-kaira,Hildén & Kaira,2026-07-05,https://www.awwwards.com/sites/hilden-kaira,https://www.hildenkaira.fi/,live_html,200,https://www.hildenkaira.fi/,False,mirrored,True,25,2302864
19,radian,Radian,2026-07-04,https://www.awwwards.com/sites/radian,https://www.rideradian.com/,live_html,200,https://www.rideradian.com/,False,mirrored,True,11,710334
20,bucks-sauce,Bucks Sauce,2026-07-03,https://www.awwwards.com/sites/bucks-sauce,https://buckssauce.com/,access_blocked,429,https://buckssauce.com/,False,no_html,False,0,0
21,units,Units,2026-07-02,https://www.awwwards.com/sites/units,https://units.gr/en/homepage/,timeout,,,False,no_html,False,0,0
22,wembi,Wembi,2026-07-01,https://www.awwwards.com/sites/wembi,https://www.wembi.ai/,live_html,200,https://www.wembi.ai/,False,mirrored,True,8,724425
23,nrg-build-your-data-center,NRG | Build Your Data Center,2026-06-30,https://www.awwwards.com/sites/nrg-build-your-data-center,https://business.nrg.com/campaigns/build-your-data-center/,live_html,200,https://business.nrg.com/campaigns/build-your-data-center/,False,mirrored,True,4,333405
24,meech213,Meech213,2026-06-29,https://www.awwwards.com/sites/meech213,https://www.meech213.com/,live_html,200,https://www.meech213.com/,False,mirrored,True,5,139607
25,ivress-spin-a-tale,IVRESS SPIN A TALE,2026-06-28,https://www.awwwards.com/sites/ivress-spin-a-tale,https://brand.ivress.co.jp/,live_html,200,https://brand.ivress.co.jp/,False,mirrored,True,6,107766
